"","row_number","id","track_name","size_bytes","currency","price","rating_count_tot","rating_count_ver","user_rating","user_rating_ver","ver","cont_rating","prime_genre","sup_devices.num","ipadSc_urls.num","lang.num","vpp_lic"
"1",3,281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,"USD",0,188583,2822,3.5,4.5,"5.0.0","4+","Weather",37,5,3,1
"2",4,282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,"USD",0,262241,649,4,4.5,"5.10.0","12+","Shopping",37,5,9,1
"3",5,282935706,"Bible",92774400,"USD",0,985920,5320,4.5,5,"7.5.1","4+","Reference",37,5,45,1
"4",6,283619399,"Shanghai Mahjong",10485713,"USD",0.99,8253,5516,4,4,"1.8","4+","Games",47,5,1,1
"5",7,283646709,"PayPal - Send and request money safely",227795968,"USD",0,119487,879,4,4.5,"6.12.0","4+","Finance",37,0,19,1
"6",8,284035177,"Pandora - Music & Radio",130242560,"USD",0,1126879,3594,4,4.5,"8.4.1","12+","Music",37,4,1,1
"7",10,284736660,"Ms. PAC-MAN",70023168,"USD",3.99,7885,40,4,4,"4.0.4","4+","Games",38,0,10,1
"8",11,284791396,"Solitaire by MobilityWare",49618944,"USD",4.99,76720,4017,4.5,4.5,"4.10.1","4+","Games",38,4,11,1
"9",12,284815117,"SCRABBLE Premium",227547136,"USD",7.99,105776,166,3.5,2.5,"5.19.0","4+","Games",37,0,6,1
"10",13,284815942,"Google – Search made just for mobile",179979264,"USD",0,479440,203,3.5,4,"27.0","17+","Utilities",37,4,33,1
"11",14,284847138,"Bank of America - Mobile Banking",160925696,"USD",0,119773,2336,3.5,4.5,"7.3.8","4+","Finance",37,0,2,1
"12",15,284862767,"FreeCell",55153664,"USD",4.99,6340,668,4.5,4.5,"4.0.3","4+","Games",38,5,2,1
"13",16,284876795,"TripAdvisor Hotels Flights Restaurants",207907840,"USD",0,56194,87,4,3.5,"21.1","4+","Travel",37,1,26,1
"14",17,284882215,"Facebook",389879808,"USD",0,2974676,212,3.5,3.5,"95.0","4+","Social Networking",37,1,29,1
"15",18,284910350,"Yelp - Nearby Restaurants, Shopping & Services",167407616,"USD",0,223885,3726,4,4.5,"11.15.0","12+","Travel",37,5,18,1
"16",20,284993459,"Shazam - Discover music, artists, videos & lyrics",147093504,"USD",0,402925,136,4,4.5,"11.0.3","12+","Music",37,3,16,1
"17",21,285005463,"Crash Bandicoot Nitro Kart 3D",10735026,"USD",2.99,31456,4178,4,3.5,"1.0.0","4+","Games",47,0,1,1
"18",22,285946052,"iQuran",70707916,"USD",1.99,2929,966,4.5,4.5,"3.3","4+","Reference",43,0,2,1
"19",23,285994151,":) Sudoku +",6169600,"USD",2.99,11447,781,5,5,"5.2.6","4+","Games",40,5,1,1
"20",24,286058814,"Yahoo Sports - Teams, Scores, News & Highlights",130583552,"USD",0,137951,131,4,4.5,"6.9","4+","Sports",37,2,6,1
"21",27,286799607,"Cleartune - Chromatic Tuner",11423008,"USD",3.99,3241,297,4,4,"2.1.3","4+","Music",43,2,10,1
"22",29,286911400,"Hangman.",4765696,"USD",0,42316,248,3,3.5,"2.0.6","9+","Games",38,0,1,1
"23",34,288429040,"LinkedIn",273844224,"USD",0,71856,62,3.5,4.5,"9.1.32","4+","Social Networking",37,2,23,1
"24",35,289084315,"Period Tracker Deluxe",40216576,"USD",1.99,13350,489,4.5,5,"9.6","12+","Health & Fitness",38,0,15,1
"25",37,289523017,"Blackjack by MobilityWare",105431040,"USD",0,180087,1101,3.5,4.5,"5.5.3","12+","Games",37,5,5,1
"26",39,289894882,"White Noise",44129280,"USD",0.99,33426,299,4,5,"7.2","4+","Health & Fitness",37,5,3,1
"27",40,290638154,"iHeartRadio – Free Music & Radio Stations",116443136,"USD",0,293228,110,4,3,"8.0.0","12+","Music",37,5,2,1
"28",41,290807369,"Line Rider iRide™",1646592,"USD",1.99,21609,69,3.5,2.5,"2.4","9+","Entertainment",40,0,1,1
"29",51,293523031,"Sonos Controller",107983872,"USD",0,48905,2691,4.5,4.5,"7.2","4+","Music",37,4,12,1
"30",53,293622097,"Google Earth",37214208,"USD",0,446185,1359,3.5,3.5,"7.1.6","4+","Travel",43,5,30,1
"31",55,293778748,"PAC-MAN",100849664,"USD",0,508808,99,3,4.5,"6.3.5","4+","Games",38,5,10,1
"32",57,294056623,"FOX Sports Mobile",72748032,"USD",0,57500,103,3,4,"3.5.13","4+","Sports",37,0,1,0
"33",59,294631159,"WeatherPro",69079040,"USD",1.99,1572,34,4,4.5,"4.8.2","4+","Weather",37,0,13,1
"34",61,295430577,"Star Walk - Find Stars And Planets in Sky Above",150195200,"USD",4.99,8932,55,4.5,5,"7.2.3","4+","Education",37,0,12,1
"35",62,295646461,"The Weather Channel: Forecast, Radar & Alerts",199734272,"USD",0,495626,5893,3.5,4.5,"8.11","4+","Weather",37,0,33,1
"36",65,296581815,"OpenTable - Restaurant Reservations",93420544,"USD",0,113936,150,4.5,5,"10.18.0","4+","Food & Drink",37,1,6,1
"37",68,297368629,"Lose It! – Weight Loss Program and Calorie Counter",182054912,"USD",0,373835,402,4,4.5,"8.0.2","4+","Health & Fitness",37,3,1,1
"38",70,297606726,"Fish Tycoon",13564835,"USD",0.99,18943,1787,3.5,4.5,"1.1.0","4+","Games",47,0,1,1
"39",72,297694601,"Touchgrind",55205888,"USD",4.99,35735,378,4,4.5,"1.5.1","4+","Games",40,0,0,1
"40",74,298206806,"iReal Pro - Music Book & Play Along",63283200,"USD",12.99,1390,143,4.5,5,"7.0.1","4+","Music",37,5,33,1
"41",76,298867247,"Chase Mobile℠",39505920,"USD",0,233270,14625,4.5,4.5,"2.610","4+","Finance",37,0,2,1
"42",79,299515267,"Allrecipes Dinner Spinner",36399104,"USD",0,109349,1540,3.5,5,"6.3","12+","Food & Drink",37,5,1,1
"43",82,300048137,"AccuWeather - Weather for Life",181941248,"USD",0,144214,2162,3.5,4,"10.4.1","4+","Weather",37,1,43,1
"44",83,300238550,"Mint: Personal Finance, Budget, Bills & Money",162891776,"USD",0,232940,683,4,4.5,"5.9.0","4+","Finance",37,5,1,1
"45",85,300265786,"Rowmote: Remote Control for Mac",54088704,"USD",0.99,5531,37,3.5,2.5,"4.3","4+","Utilities",40,3,13,1
"46",86,300590611,"Peekaboo Barn",50155520,"USD",1.99,3393,77,4,4,"5.1.0","4+","Education",43,5,1,1
"47",87,300704847,"Speedtest by Ookla",23936000,"USD",0,65016,274,3.5,5,"3.8.2","4+","Utilities",38,4,17,1
"48",89,301387274,"Pocket God",145293312,"USD",0.99,187529,1071,4,4,"1.48.2","9+","Entertainment",43,5,1,1
"49",90,301521403,"Nike+ Training Club - Workouts & Fitness Plans",140367872,"USD",0,33969,466,3.5,5,"5.4.1","4+","Health & Fitness",37,0,17,1
"50",91,301724680,"Citi Mobile®",281244672,"USD",0,48822,193,3.5,4,"8.5.0","4+","Finance",37,0,1,1
"51",92,302049354,"Phase 10 Pro - Play Your Friends!",66695168,"USD",1.99,59155,101,4.5,2.5,"3.2.0","4+","Games",40,5,1,1
"52",93,302584613,"Kindle – Read eBooks, Magazines & Textbooks",169747456,"USD",0,252076,80,3.5,4.5,"5.11","4+","Book",37,5,9,1
"53",97,303337299,"Wedding Dash Deluxe",55803904,"USD",0.99,16567,1155,4.5,4.5,"2.29.13","4+","Games",43,4,1,1
"54",102,304871603,"Color Splash",28135424,"USD",0.99,29554,55,4,5,"3.6.1","4+","Photo & Video",37,0,3,1
"55",103,304871622,"Zombieville USA",27962441,"USD",0.99,32988,2489,4,4,"1.7","12+","Games",47,5,1,1
"56",104,304878510,"Skype for iPhone",133238784,"USD",0,373519,127,3.5,4,"6.35.1","4+","Social Networking",37,0,32,1
"57",105,305343404,"Tumblr",151573504,"USD",0,334293,919,4,4,"8.6","17+","Social Networking",37,5,16,1
"58",107,305939712,"Match™ - #1 Dating App.",101259264,"USD",0,60659,57,3,2.5,"17.05.01","17+","Social Networking",37,5,10,1
"59",113,306621789,"HuffPost - News, Politics & Entertainment",110420992,"USD",0,29107,85,3,4,"11.2","12+","News",37,5,10,1
"60",114,306628397,"Phrase Party!",47774720,"USD",1.99,878,48,4,4.5,"8.7.5","17+","Games",38,5,1,1
"61",116,307132353,"Sally's Spa",431771648,"USD",2.99,35074,403,4.5,4,"3.3.0","4+","Games",43,0,6,1
"62",118,307219387,"Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience",90828800,"USD",4.99,2913,357,4,5,"7.4","4+","Health & Fitness",43,5,1,1
"63",121,307569751,"NYTimes Crossword - Daily Word Puzzle Game",46880768,"USD",0,53465,204,3.5,4,"2.8.1","4+","Games",37,5,1,1
"64",122,307727765,"Doodle Jump",48741376,"USD",0.99,395261,88,4.5,4.5,"3.17.6","4+","Games",37,0,1,1
"65",123,307741537,"LEDit – The LED Banner App",17145856,"USD",1.99,2021,147,4.5,4.5,"3.5.1","4+","Utilities",37,4,12,1
"66",125,307906541,"Fandango Movies - Times + Tickets",81924096,"USD",0,291787,589,4,5,"8.6","4+","Entertainment",37,4,1,1
"67",130,308750436,"Dictionary.com Dictionary & Thesaurus",111275008,"USD",0,200047,177,4,4,"7.1.3","4+","Reference",37,0,1,1
"68",133,309025938,"The Masters Tournament",120725504,"USD",0,148160,63,4.5,3.5,"9.0.701","4+","Sports",37,5,1,1
"69",134,309172177,"myAT&T",68491264,"USD",0,108507,628,3,3,"5.3","4+","Utilities",37,5,2,1
"70",136,309465525,"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,"USD",0,51427,874,4,5,"7.7.0","4+","Photo & Video",37,5,1,1
"71",137,309527804,"StickWars",17010688,"USD",0.99,53821,165,3.5,4,"1.8.9","12+","Games",43,1,1,0
"72",138,309735670,"Indeed Job Search",3691520,"USD",0,38681,563,4,4.5,"4.3","4+","Business",37,3,28,1
"73",140,310633997,"WhatsApp Messenger",135044096,"USD",0,287589,73088,4.5,4.5,"2.17.22","4+","Social Networking",12,0,35,1
"74",142,310738695,"Zillow Real Estate - Homes for Sale & for Rent",132632576,"USD",0,342969,88478,4.5,4.5,"10.4.5","4+","Lifestyle",37,5,1,1
"75",146,311466554,"Pocket Tanks Deluxe",39827456,"USD",4.99,5452,39,4.5,4.5,"2.3.1","9+","Games",38,5,1,1
"76",148,311548709,"Wells Fargo Mobile",57328640,"USD",0,43064,216,3,2.5,"3.55","4+","Finance",37,0,2,1
"77",152,311972587,"Sky Burger - Build & Match Food Free",146228224,"USD",0,114096,2157,4.5,4,"3.0.3","4+","Games",37,5,3,1
"78",154,312266675,"Packing Pro",16332800,"USD",2.99,1293,31,4,5,"12.2","4+","Travel",37,5,11,1
